k,Player,Tm,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed,-9999
318,AJ Johnson,WAS,$3090480,$3237120,$5493394,,,,$6327600,johnsaj01
319,De'Anthony Melton,GSW,$3080921,$3451779,,,,,$3080921,meltode01
320,Shake Milton,LAL,$3000000,$3287406,,,,,$6287406,miltosh01
321,Kyle Filipowski,UTA,$3000000,$3000000,$3000000,,,,$3000000,filipky01
322,Ajay Mitchell,OKC,$3000000,$2850000,$2850000,,,,$3000000,mitchaj01
323,Julian Champagnie,SAS,$3000000,$3000000,,,,,,champju02
324,Jase Richardson,ORL,$2983320,$3132360,$3282000,$5910882,,,$6115680,richaja02
325,Kyshawn George,WAS,$2966760,$3108000,$5435892,,,,$6074760,georgky01
326,Tony Bradley,IND,$2940876,,,,,,$2940876,bradlto01
327,Marcus Sasser,DET,$2886720,$5198983,,,,,$8085703,sassema01
328,Ben Saraf,BRK,$2884560,$3028560,$3172920,$5720776,,,$5913120,sarafbe01
329,Pacome Dadiet,NYK,$2847600,$2983680,$5373608,,,,$5831280,dadiepa01
330,Danny Wolf,BRK,$2801280,$2941440,$3081840,$5559640,,,$5742720,wolfda01
